Ticker,Date,Name,Sector,Industry,Country,Website,Market Cap,Enterprise Value,Float Shares,Shares Outstanding,P/E (trailing),P/E (forward),P/S,P/B,EV/EBITDA,EV/Revenue,Gross Margin (%),EBITDA Margin (%),Operating Margin (%),Profit Margin (%),ROE,ROA,Revenue (TTM),Revenue Growth (%),EPS (trailing),EPS (forward),Earnings Growth (%),Earnings Quarterly Growth (%),Total Cash,Total Debt,Debt to Equity,Current Ratio,Quick Ratio,Book Value,Free Cash Flow,Operating Cash Flow,Dividend Yield (%),Dividend Rate (%),5Y Avg Dividend Yield (%),Payout Ratio (%),Price,Target Price,Target High,Target Low,Analyst Rating,Analyst Rating Value,Beta,52W High,52W Low,50 Day Avg,200 Day Avg,Short Ratio,Short % of Float
AEE,2025-06-11,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,https://www.amereninvestors.com,26009128960.0,45578477568.0,268962659.0,271112000.0,21.32,19.5,3.42,2.12,13.95,6.0,0.4906,0.4302,0.246,0.1593,0.1,0.03,7596000256.0,0.156,4.5,4.92,0.092,0.107,23000000.0,19623000064.0,158.92,0.86,0.44,45.2,-2507375104.0,2702000128.0,0.0296,0.028399999999999998,0.0281,0.6031,95.94,103.41,118.0,88.0,buy,2.06,0.5,104.1,69.39,97.56,92.8,4.72,0.04
AEP,2025-06-11,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,https://www.aep.com,54247505920.0,100928348160.0,533233475.0,534195008.0,19.49,17.24,2.69,1.98,12.66,5.01,0.4713,0.3954,0.2415,0.1371,0.1,0.03,20159000576.0,0.087,5.21,5.89,-0.211,-0.202,463600000.0,46930198528.0,171.5,0.42,0.22,51.16,-2700450048.0,6812100096.0,0.0367,0.037200000000000004,0.0357,0.6988,101.55,108.83,120.0,98.78,hold,2.75,0.41,110.48,85.93,104.57,100.68,6.27,0.04
AES,2025-06-11,The AES Corporation,Utilities,Utilities - Diversified,United States,https://www.aes.com,8133720576.0,42557607936.0,707750947.0,711923008.0,5.98,5.63,0.67,2.35,13.64,3.51,0.1762,0.2574,0.1244,0.1067,0.06,0.02,12119000064.0,-0.052,1.91,2.03,-0.892,-0.894,1816999936.0,31181000704.0,361.56,0.84,0.38,4.87,-5762250240.0,3009999872.0,0.0641,0.006999999999999999,0.0337,0.3769,11.42,13.71,23.0,5.0,buy,2.4,0.94,20.63,9.46,10.71,13.31,2.24,0.07
AFL,2025-06-11,Aflac Incorporated,Financial Services,Insurance - Life,United States,https://www.aflac.com,55134978048.0,58993766400.0,535871132.0,540644992.0,15.91,14.22,3.26,2.1,12.74,3.49,0.4541,0.2743,0.0574,0.2127,0.14,0.02,16888999936.0,-0.375,6.41,7.17,-0.985,-0.985,7495000064.0,11196999680.0,42.51,1.38,1.24,48.55,5280000000.0,2447000064.0,0.0226,0.0232,0.0229,0.3235,101.98,105.62,120.0,94.0,hold,2.92,0.81,115.5,86.46,105.66,107.29,4.64,0.02
AIG,2025-06-11,"American International Group, Inc.",Financial Services,Insurance - Diversified,United States,https://www.aig.com,48774803456.0,45390929920.0,573886620.0,576329984.0,20.84,12.61,1.8,1.19,5.88,1.68,0.3249,0.2852,0.1546,-0.0711,0.06,0.01,27047000064.0,0.003,4.06,6.71,-0.333,-0.426,11992000512.0,8753000448.0,21.11,0.64,0.23,71.39,19411625984.0,2696000000.0,0.0211,0.018000000000000002,0.0244,0.3902,84.63,89.25,97.0,76.22,buy,2.29,0.66,88.07,69.0,82.91,77.66,2.8,0.02
AIZ,2025-06-11,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,https://www.assurant.com,9964522496.0,10046906368.0,50356027.0,50702300.0,15.55,10.97,0.83,1.91,8.66,0.83,0.0998,0.0961,0.0685,0.0555,0.13,0.02,12071400448.0,0.067,12.64,17.92,-0.367,-0.38,1970899968.0,2083699968.0,39.81,0.42,0.14,103.0,1277987456.0,1642599936.0,0.0161,0.032,0.0178,0.2371,196.53,233.0,250.0,217.0,none,,0.6,230.55,160.12,196.54,203.53,1.11,0.03
AJG,2025-06-11,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,https://www.ajg.com,80236765184.0,77282541568.0,253193265.0,256052992.0,48.89,27.78,7.13,3.6,20.77,6.87,0.4366,0.331,0.2783,0.1386,0.09,0.03,11243499520.0,0.101,6.41,11.28,-0.007,0.158,16691800064.0,13422900224.0,60.05,1.44,0.57,87.15,2389237504.0,2665400064.0,0.0082,0.026000000000000002,0.0111,0.3781,313.36,339.44,388.0,267.0,buy,2.18,0.75,351.23,251.42,332.79,308.48,2.96,0.02
AKAM,2025-06-11,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,United States,https://www.akamai.com,11317135360.0,14741118976.0,143092178.0,142336000.0,26.59,11.9,2.82,2.53,13.1,3.67,0.5907,0.2799,0.1527,0.1126,0.1,0.04,4019336960.0,0.029,2.99,6.68,-0.261,-0.298,1321229952.0,4618776064.0,100.75,1.18,1.03,31.38,514483488.0,1418493056.0,0.0,0.0,0.0,0.0,79.51,100.91,136.32,63.0,buy,2.04,0.77,106.8,67.51,77.4,90.68,3.18,0.09
ALB,2025-06-11,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,https://www.albemarle.com,7660319744.0,12190365696.0,117097318.0,117661000.0,,35.38,1.5,0.98,63.63,2.39,0.0393,0.0376,0.019,-0.2239,-0.1,-0.02,5093670912.0,-0.209,-11.46,1.84,,15.891,1518510976.0,3673838080.0,35.76,2.11,1.2,66.24,-349651872.0,1149496960.0,0.026,0.016200000000000003,0.0116,0.5797,65.1,82.46,200.0,58.0,hold,2.52,1.61,118.8,49.43,58.87,82.48,5.11,0.24
ALGN,2025-06-11,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,United States,https://www.aligntech.com,13577127936.0,12877747200.0,67597188.0,72484800.0,32.75,18.26,3.41,3.61,15.9,3.24,0.7002,0.2035,0.1402,0.1029,0.11,0.07,3980843008.0,-0.018,5.72,10.26,-0.088,-0.112,873011968.0,118535000.0,3.12,1.21,0.99,51.94,630043904.0,762243008.0,0.0,0.0,0.0,0.0,187.31,227.3,275.0,150.54,buy,2.0,1.64,271.59,141.74,174.49,205.43,2.84,0.05
